MAPT	MAPT_Family	member>
MAPT2	MAPT_Family	member>
MAPT3	MAPT_Family	member>
MAPT_Family	positive regulation of microtubule depolymerization	-ap>
GNAO1	ADCY4	-a>
GNAO1	ADCY1	-a>
GNAO1	ADCY2	-a>
GNAO1	ADCY7	-a>
GNAO1	ADCY8	-a>
GNAO1	ADCY5	-a>
GNAO1	ADCY9	-a>
GNAO1	ADCY3	-a>
GNAO1	ADCY6	-a>
GNAO1	HRAS/GTP	-a>
GNAO1	Gi(beta/gamma)	component>
GNAI3	ADCY4	-a>
GNAI3	ADCY1	-a>
GNAI3	ADCY2	-a>
GNAI3	ADCY7	-a>
GNAI3	ADCY8	-a>
GNAI3	ADCY5	-a>
GNAI3	ADCY9	-a>
GNAI3	ADCY3	-a>
GNAI3	ADCY6	-a>
GNAI3	HRAS/GTP	-a>
GNAI3	Gi(beta/gamma)	component>
MMP2	endothelial cell migration	-ap>
JUN	AP1	component>
GNAI2	ADCY4	-a>
GNAI2	ADCY1	-a>
GNAI2	ADCY2	-a>
GNAI2	ADCY7	-a>
GNAI2	ADCY8	-a>
GNAI2	ADCY5	-a>
GNAI2	ADCY9	-a>
GNAI2	ADCY3	-a>
GNAI2	ADCY6	-a>
GNAI2	HRAS/GTP	-a>
GNAI2	Gi(beta/gamma)	component>
HRAS	HRAS/GTP	component>
HRAS	HRAS/GDP	component>
FOS	AP1	component>
EGFR	HB-EGF/EGFR	component>
EGFR	EGFR/PI3K-beta/Gab1	component>
GNA14	PLCG1	-a>
ADCY5	cAMP biosynthetic process	-ap|
ADCY9	cAMP biosynthetic process	-ap|
ADCY3	cAMP biosynthetic process	-ap|
ADCY6	cAMP biosynthetic process	-ap|
TRIP6/p130 Cas/FAK1/Paxillin	cell migration	-ap>
Rac1/GTP	lamellipodium assembly	-ap>
Rac1/GTP	cell migration	-ap>
PI3K-beta	TIAM1	-a>
PI3K-beta	AKT1	-a>
NF kappa B1 p50/RelA	IL8	-t>
LPA/LPA3	GNAQ	-a>
LPA/LPA3	CASP3	-a>
LPA/LPA3	UniProt:P30679	-a>
LPA/LPA3	GNA11	-a>
LPA/LPA3	GNA14	-a>
LPA/LPA2/NHERF2	PLCB3	-a>
LPA/LPA2/MAGI-3	RHOA	-a>
LPA/LPA2	TRIP6	-a>
LPA/LPA2	PTK2B	-a>
LPA/LPA2	GNAQ	-a>
LPA/LPA2	UniProt:P30679	-a>
LPA/LPA2	GNA11	-a>
LPA/LPA2	GNA14	-a>
LPA/LPA1-2-3	positive regulation of dendritic cell cytokine production	-ap>
LPA/LPA1-2-3	PTK2	-a>
LPA/LPA1-2-3	NFKBIA	-a>
LPA/LPA1-2-3	IL8	-a>
LPA/LPA1-2-3	LYN	-a>
LPA/LPA1-2-3	PLD2	-a>
LPA/LPA1-2-3	NF kappa B1 p50/RelA	-a>
LPA/LPA1-2-3	EGFR/PI3K-beta/Gab1	-a>
LPA/LPA1-2-3	AP1	-a>
LPA/LPA1	PTK2B	-a>
LPA/LPA1	GNAI1	-a>
LPA/LPA1	CASP3	-a>
LPA/LPA1	UniProt:P29777	-a>
LPA/LPA1	GNAZ	-a>
LPA/LPA1	GNAO1	-a>
LPA/LPA1	GNAI3	-a>
LPA/LPA1	MMP2	-t>
LPA/LPA1	GNAI2	-a>
LPA/LPA1	GNB1/GNG2	-a>
LPA/LPA1	G12/G13	-a>
JNK cascade	AP1	-ap>
HRAS/GTP	positive regulation of mitosis	-ap>
HRAS/GTP	arachidonic acid secretion	-ap>
HRAS/GTP	MAPKKK cascade	-ap>
HB-EGF/EGFR	IL8	-t>
GNB1/GNG2	PI3K-beta	-a>
GNB1/GNG2	HRAS/GTP	-a>
G12/G13	ARHGEF1	-a>
EGFR/PI3K-beta/Gab1	mol:PIP3	-a>
AP1	IL8	-t>
